record_id,hex,type,PT1_outer_graves,PT2_jeet,PT3_gutgash,PT4_pinkeye,PT5_deepfriah,PT6_100pct
527,0x020F,u8,0,0,0,4,4,4
545,0x0221,u8,1,1,1,4,4,4
608,0x0260,u32,0,213306.17,216248.58,216248.58,216248.58,216248.58
609,0x0261,u8,1,2,4,4,4,4
612,0x0264,u8,0,12,0,0,0,0
614,0x0266,u8,0,12,0,0,0,0
616,0x0268,u8,0,12,0,0,0,0
618,0x026A,u8,0,12,0,0,0,0
620,0x026C,u8,0,12,0,0,0,0
622,0x026E,u8,0,12,0,0,0,0
624,0x0270,u8,0,12,0,0,0,0
626,0x0272,u8,0,12,0,0,0,0
628,0x0274,u8,0,12,0,0,0,0
630,0x0276,u8,0,4,0,0,0,0
646,0x0286,u32,0,0,0,3517.64,3517.64,3517.64
647,0x0287,u8,1,1,1,4,4,4
665,0x0299,u8,1,1,1,4,4,4
711,0x02C7,u8,0,0,0,4,4,4
716,0x02CC,u32,0,0,0,0,2769.0,2769.0
717,0x02CD,u8,1,1,1,1,4,4
734,0x02DE,u32,0,0,0,0,2353.34,2353.34
735,0x02DF,u8,1,1,1,1,4,4
791,0x0317,u8,0,0,4,4,4,4
809,0x0329,u8,1,4,4,4,4,4
823,0x0337,u8,1,1,1,4,4,4
843,0x034B,u8,1,1,1,4,4,4
857,0x0359,u8,1,4,4,4,4,4
863,0x035F,u8,1,1,12,12,12,12
885,0x0375,u8,1,1,1,1,4,4
895,0x037F,u8,1,1,4,4,4,4
913,0x0391,u8,0,4,4,4,4,4
923,0x039B,u8,0,0,0,4,4,4
929,0x03A1,u8,1,4,4,4,4,4
947,0x03B3,u8,1,1,1,1,4,4
983,0x03D7,u8,0,4,4,4,4,4
1009,0x03F1,u8,1,1,1,1,1,4
1015,0x03F7,u8,1,4,4,4,4,4
1025,0x0401,u8,1,1,12,12,12,12
1039,0x040F,u8,0,0,0,4,4,4
1049,0x0419,u8,1,1,1,1,4,4
1111,0x0457,u8,0,0,4,4,4,4
1121,0x0461,u8,1,1,1,1,12,12
1129,0x0469,u8,0,0,0,4,4,4
1167,0x048F,u8,0,4,4,4,4,4
1177,0x0499,u8,1,1,1,1,4,4
1194,0x04AA,u32,0,0,0,0,1668.15,1668.15
1195,0x04AB,u8,1,1,1,1,4,4
1215,0x04BF,u8,1,1,1,0,4,4
1221,0x04C5,u8,1,1,4,4,4,4
1243,0x04DB,u8,1,1,1,1,4,4
1257,0x04E9,u8,1,1,1,1,4,4
1270,0x04F6,u32,0,0,0,0,3059.79,3059.79
1271,0x04F7,u8,1,1,1,1,4,4
1297,0x0511,u8,1,1,4,4,4,4
1307,0x051B,u8,1,1,1,4,4,4
1325,0x052D,u8,1,1,1,4,4,4
1355,0x054B,u8,1,1,1,12,12,12
1360,0x0550,u32,15935.06,15986.26,15986.26,15986.26,15986.26,15986.26
1361,0x0551,u8,2,4,4,4,4,4
1364,0x0554,u8,12,0,0,0,0,0
1366,0x0556,u8,12,0,0,0,0,0
1368,0x0558,u8,12,0,0,0,0,0
1370,0x055A,u8,12,0,0,0,0,0
1372,0x055C,u8,12,0,0,0,0,0
1374,0x055E,u8,12,0,0,0,0,0
1376,0x0560,u8,12,0,0,0,0,0
1378,0x0562,u8,12,0,0,0,0,0
1380,0x0564,u8,12,0,0,0,0,0
1382,0x0566,u8,12,0,0,0,0,0
1384,0x0568,u8,12,0,0,0,0,0
1386,0x056A,u8,12,0,0,0,0,0
1388,0x056C,u8,12,0,0,0,0,0
1390,0x056E,u8,12,0,0,0,0,0
1392,0x0570,u8,12,0,0,0,0,0
1394,0x0572,u8,12,0,0,0,0,0
1396,0x0574,u8,12,0,0,0,0,0
1398,0x0576,u8,12,0,0,0,0,0
1400,0x0578,u8,12,0,0,0,0,0
1402,0x057A,u8,12,0,0,0,0,0
1404,0x057C,u8,12,0,0,0,0,0
1406,0x057E,u8,12,0,0,0,0,0
1408,0x0580,u8,8,0,0,0,0,0
1410,0x0582,u8,4,0,0,0,0,0
1417,0x0589,u8,1,4,4,4,4,4
1457,0x05B1,u8,0,4,4,4,4,4
1467,0x05BB,u8,1,1,1,1,4,4
1497,0x05D9,u8,0,0,0,4,4,4
1503,0x05DF,u8,1,1,1,4,4,4
1520,0x05F0,u32,0,0,1490.26,1490.26,1490.26,1490.26
1521,0x05F1,u8,1,1,4,4,4,4
1555,0x0613,u8,1,1,1,1,4,4
1577,0x0629,u8,0,0,4,4,4,4
1595,0x063B,u8,1,1,1,1,4,4
1621,0x0655,u8,1,1,1,1,4,4
1627,0x065B,u8,1,1,1,4,4,4
1657,0x0679,u8,1,1,1,4,4,4
1703,0x06A7,u8,0,0,0,4,4,4
1709,0x06AD,u8,1,1,4,4,4,4
1727,0x06BF,u8,1,1,1,1,4,4
1737,0x06C9,u8,1,1,1,4,4,4
1751,0x06D7,u8,0,4,4,4,4,4
1765,0x06E5,u8,0,0,0,4,4,4
1787,0x06FB,u8,1,1,1,1,1,4
1797,0x0705,u8,1,1,12,12,12,12
1848,0x0738,u32,0,15012.79,15012.79,15012.79,15012.79,15012.79
1849,0x0739,u8,1,4,4,4,4,4
1893,0x0765,u8,0,4,4,4,4,4
1915,0x077B,u8,1,1,0,0,0,0
1918,0x077E,u8,0,0,8,8,8,8
1925,0x0785,u8,0,0,4,4,4,4
1931,0x078B,u8,1,1,4,4,4,4
1941,0x0795,u8,1,1,1,0,4,4
1950,0x079E,u32,0,0,255831.61,258474.55,258474.55,258474.55
1951,0x079F,u8,1,1,2,4,4,4
1954,0x07A2,u8,0,0,12,0,0,0
1956,0x07A4,u8,0,0,12,0,0,0
1958,0x07A6,u8,0,0,12,0,0,0
1960,0x07A8,u8,0,0,12,0,0,0
1962,0x07AA,u8,0,0,4,0,0,0
2009,0x07D9,u8,1,1,1,1,4,4
2023,0x07E7,u8,1,1,1,1,4,4
2055,0x0807,u8,0,2,4,4,4,4
2067,0x0813,u8,1,1,4,4,4,4
2077,0x081D,u8,1,1,1,1,4,4
2115,0x0843,u8,1,1,1,1,1,4
2121,0x0849,u8,1,1,1,4,4,4
2127,0x084F,u8,0,0,4,4,4,4
2137,0x0859,u8,1,1,1,1,12,12
2143,0x085F,u8,1,1,1,4,4,4
2170,0x087A,u32,0,0,0,0,0,4735.44
2171,0x087B,u8,1,1,1,1,1,4
2203,0x089B,u8,0,4,4,4,4,4
2229,0x08B5,u8,1,4,4,4,4,4
2273,0x08E1,u8,1,1,1,1,4,4
2295,0x08F7,u8,1,10,4,4,4,4
2298,0x08FA,u8,0,12,0,0,0,0
2300,0x08FC,u8,0,8,0,0,0,0
2302,0x08FE,u8,0,4,0,0,0,0
2309,0x0905,u8,1,1,1,1,1,4
2315,0x090B,u8,1,8,12,12,12,12
2321,0x0911,u8,1,2,4,4,4,4
2324,0x0914,u8,0,4,0,0,0,0
2347,0x092B,u8,1,12,12,12,12,12
2371,0x0943,u8,0,0,4,4,4,4
2401,0x0961,u8,1,1,1,1,4,4
2407,0x0967,u8,1,10,4,4,4,4
2410,0x096A,u8,0,12,0,0,0,0
2412,0x096C,u8,0,8,0,0,0,0
2414,0x096E,u8,0,4,0,0,0,0
2445,0x098D,u8,1,1,1,4,4,4
2467,0x09A3,u8,1,8,4,4,4,4
2472,0x09A8,u8,0,1,1,1,1,1
2474,0x09AA,u8,0,0,0,0,1,1
2476,0x09AC,u8,0,0,0,1,1,1
2478,0x09AE,u8,0,0,0,0,1,1
2480,0x09B0,u8,0,1,1,1,1,1
2482,0x09B2,u8,0,0,0,0,1,1
2484,0x09B4,u8,0,1,1,1,1,1
2486,0x09B6,u8,0,0,0,1,1,1
2488,0x09B8,u8,0,0,1,1,1,1
2490,0x09BA,u8,0,0,0,1,1,1
2492,0x09BC,u8,0,1,1,1,1,1
2494,0x09BE,u8,0,1,1,1,1,1
2496,0x09C0,u8,0,1,1,1,1,1
2498,0x09C2,u8,0,0,1,1,1,1
2500,0x09C4,u8,0,0,0,1,1,1
2502,0x09C6,u8,0,0,0,1,1,1
2504,0x09C8,u8,0,0,0,1,1,1
2506,0x09CA,u8,0,0,0,1,1,1
2508,0x09CC,u8,0,1,1,1,1,1
2510,0x09CE,u8,0,0,1,1,1,1
2512,0x09D0,u8,0,0,0,1,1,1
2516,0x09D4,u8,0,0,1,1,1,1
2518,0x09D6,u8,0,1,1,1,1,1
2520,0x09D8,u8,0,0,0,1,1,1
2522,0x09DA,u8,0,0,1,1,1,1
2524,0x09DC,u8,0,0,1,1,1,1
2526,0x09DE,u8,0,0,0,1,1,1
2528,0x09E0,u8,0,1,1,1,1,1
2530,0x09E2,u8,0,1,1,1,1,1
2532,0x09E4,u8,0,0,0,0,1,1
2534,0x09E6,u8,0,0,0,1,1,1
2536,0x09E8,u8,0,0,1,1,1,1
2540,0x09EC,u8,0,0,1,1,1,1
2542,0x09EE,u8,0,0,1,1,1,1
2544,0x09F0,u8,0,0,1,1,1,1
2546,0x09F2,u8,0,0,1,1,1,1
2548,0x09F4,u8,0,1,1,1,1,1
2640,0x0A50,u8,0,0,0,1,1,1
2718,0x0A9E,u8,0,1,1,1,1,1
2750,0x0ABE,u8,0,0,0,0,1,1
2760,0x0AC8,u8,1,0,0,0,0,0
2800,0x0AF0,u8,0,0,0,0,1,1
2822,0x0B06,u8,0,0,1,1,1,1
